Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SSC (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"Percentage: Row"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SSC (UR)",
"Acacia Ridge",7.6581427,6.473755,5.6931359,6.3795424,8.0753701,8.5329744,8.384926,6.473755,6.1372813,6.3795424,5.8008075,5.3566622,4.4414536,4.2395693,3.5397039,2.7860027,1.8034993,1.1305518,0.6056528,0.1211306,0,100,
"Albion (Brisbane - Qld)",4.6086957,3.5217391,2.4782609,3.6956522,10.3478261,18.0434783,13.1304348,8.1304348,6.4347826,6.0434783,4.4347826,4.7826087,3.4782609,2.3043478,2.3043478,1.9130435,1.3913043,1.3043478,0.9130435,0.2608696,0,100,
"Alderley",6.1591243,6.3715079,5.4566247,5.2769155,10.0963895,9.6062735,9.0998203,7.3354027,7.8418559,7.8255187,6.1754615,4.4110439,4.1333116,3.594184,2.4342428,1.6500572,1.061918,0.7841856,0.3594184,0.0490116,0,100,
"Algester",7.2580645,7.0090133,5.4435484,5.7044592,5.6688805,7.5545541,9.6062619,8.1356736,6.7955408,6.0839658,5.3012334,5.4791271,5.5147059,5.0166034,3.6290323,2.2177419,1.4231499,1.1859583,0.6048387,0.142315,0,100,
"Annerley",5.2404058,3.9347155,3.2818703,4.9933833,13.4450816,13.9655933,11.7159241,8.2487869,6.8372298,6.2549625,5.1786502,5.0110278,3.8376709,2.7525364,1.7909131,1.4997794,0.9263344,0.6616674,0.3528893,0.1235112,0,100,
"Anstead",5.691595,7.1475844,8.3388484,7.4784911,5.3606883,3.1105228,4.6326936,5.1621443,8.8682991,8.4050298,7.8093977,7.9417604,4.9636003,5.4268696,4.1694242,2.7796161,1.1250827,0.8603574,0.5294507,0.198544,0,100,
"Archerfield",6.2962963,5,3.5185185,6.2962963,7.7777778,7.5925926,7.962963,6.8518519,7.962963,5.7407407,8.1481481,5.9259259,4.8148148,6.8518519,5,1.8518519,1.2962963,0.7407407,0,0,0,100,
"Ascot (Brisbane - Qld)",4.7413047,4.914345,6.1948434,6.9389168,7.0254369,6.6447482,7.7175982,6.1256273,7.0081329,8.4270635,7.5445579,7.2157813,5.1912096,4.6201765,3.6165427,2.3533483,1.7823153,1.0555459,0.6229451,0.1038242,0,100,
"Ashgrove",6.122449,7.7873255,8.0788706,7.5878472,7.6415529,5.869265,5.7618536,6.7515728,8.0865429,8.7463557,7.2732853,5.9459874,4.4115391,3.5829369,2.4014117,1.6648765,1.0817861,0.9053245,0.3759398,0.0843947,0,100,
"Aspley",5.4908761,5.6477582,5.6312443,5.7468417,5.8706961,5.1027991,6.3578565,6.6055652,6.8945587,6.83676,6.45694,6.0853769,5.8624391,5.3917926,5.0119726,4.0459087,3.4761787,2.3532326,1.1064322,0.1321113,0,100,
"Auchenflower",4.6483909,4.4100119,3.8481185,6.2659629,14.0984165,14.1665248,9.8757024,7.7302912,5.823259,5.8573131,5.2102844,4.205687,4.2737953,3.7800102,2.8605483,1.39622,0.8343266,0.3575685,0.1872978,0,0,100,
